timestamp,config_name,ablation_flags,SNR_dB,NMSE_dB_mean,RMSE_theta_deg_mean,RMSE_r_m_mean,fail_rate_pct,N_MC
2026-03-28 18:35:07,CL-KL (full),none (full CL-KL),-5,2.0634,10.6266,16.8714,100.00,50
2026-03-28 18:35:07,CL-KL (full),none (full CL-KL),5,-2.8051,7.6423,15.8412,94.00,50
2026-03-28 18:35:07,CL-KL (full),none (full CL-KL),15,-4.0953,9.8064,18.1266,100.00,50
2026-03-28 18:35:07,w/o frozen N0,update_N0,-5,2.0419,10.3564,16.7650,100.00,50
2026-03-28 18:35:07,w/o frozen N0,update_N0,5,-2.7121,7.4525,15.5266,92.00,50
2026-03-28 18:35:07,w/o frozen N0,update_N0,15,-4.6879,9.1105,17.7306,96.00,50
2026-03-28 18:35:07,w/o multi-start,single_start,-5,2.0936,10.9945,17.6129,100.00,50
2026-03-28 18:35:07,w/o multi-start,single_start,5,-2.9749,8.4188,16.5567,92.00,50
2026-03-28 18:35:07,w/o multi-start,single_start,15,-4.1680,10.1372,18.9969,100.00,50
2026-03-28 18:35:07,w/o post-loop scan,skip_scan,-5,3.3921,7.2251,25.9073,100.00,50
2026-03-28 18:35:07,w/o post-loop scan,skip_scan,5,-3.2433,3.7975,27.1672,100.00,50
2026-03-28 18:35:07,w/o post-loop scan,skip_scan,15,-2.7314,8.3033,30.2796,100.00,50
